order_id,date,store,product,quantity,sales
1,01/01/2023,Lower Manhattan,Gourmet brewed coffee,2,6
2,01/01/2023,Lower Manhattan,Brewed Chai tea,2,6.2
3,01/01/2023,Lower Manhattan,Hot chocolate,2,9
4,01/01/2023,Lower Manhattan,Drip coffee,1,2
5,01/01/2023,Lower Manhattan,Brewed Chai tea,2,6.2
6,01/01/2023,Lower Manhattan,Scone,1,3
7,01/01/2023,Lower Manhattan,Drip coffee,1,2
8,01/01/2023,Lower Manhattan,Gourmet brewed coffee,2,4
9,01/01/2023,Lower Manhattan,Barista Espresso,1,4.25
10,01/01/2023,Lower Manhattan,Hot chocolate,2,7
11,01/01/2023,Lower Manhattan,Brewed Chai tea,1,2.55
12,01/01/2023,Lower Manhattan,Gourmet brewed coffee,2,7
13,01/01/2023,Lower Manhattan,Brewed Black tea,1,3
14,01/01/2023,Lower Manhattan,Brewed Chai tea,1,3.1
15,01/01/2023,Lower Manhattan,Barista Espresso,2,6
16,01/01/2023,Lower Manhattan,Brewed Green tea,2,6
17,01/01/2023,Lower Manhattan,Scone,1,3.75
18,01/01/2023,Hell's Kitchen,Brewed herbal tea,1,2.5
19,01/01/2023,Hell's Kitchen,Hot chocolate,2,9
20,01/01/2023,Hell's Kitchen,Hot chocolate,1,4.75
21,01/01/2023,Hell's Kitchen,Gourmet brewed coffee,2,7
22,01/01/2023,Lower Manhattan,Brewed Chai tea,2,5.1
23,01/01/2023,Lower Manhattan,Biscotti,1,3.25
24,01/01/2023,Hell's Kitchen,Brewed Chai tea,1,2.55
25,01/01/2023,Hell's Kitchen,Barista Espresso,1,3.75
26,01/01/2023,Lower Manhattan,Brewed herbal tea,1,3
27,01/01/2023,Lower Manhattan,Biscotti,1,3.5
28,01/01/2023,Lower Manhattan,Brewed herbal tea,2,6
29,01/01/2023,Lower Manhattan,Pastry,1,3.75
30,01/01/2023,Hell's Kitchen,Barista Espresso,2,7.5
31,01/01/2023,Hell's Kitchen,Barista Espresso,1,3.75
32,01/01/2023,Lower Manhattan,Organic brewed coffee,1,3
33,01/01/2023,Lower Manhattan,Organic brewed coffee,2,7
34,01/01/2023,Lower Manhattan,Gourmet brewed coffee,2,5
35,01/01/2023,Hell's Kitchen,Brewed Chai tea,1,2.5
36,01/01/2023,Lower Manhattan,Organic brewed coffee,1,3
37,01/01/2023,Lower Manhattan,Brewed Chai tea,1,4
38,01/01/2023,Hell's Kitchen,Barista Espresso,2,7.5
39,01/01/2023,Hell's Kitchen,Brewed herbal tea,1,3
40,01/01/2023,Hell's Kitchen,Brewed herbal tea,2,6
41,01/01/2023,Hell's Kitchen,Drip coffee,1,3
42,01/01/2023,Lower Manhattan,Hot chocolate,2,7.5
43,01/01/2023,Lower Manhattan,Scone,1,4.5
44,01/01/2023,Lower Manhattan,Brewed Chai tea,1,2.55
45,01/01/2023,Lower Manhattan,Scone,1,3
46,01/01/2023,Lower Manhattan,Brewed herbal tea,1,2.5
47,01/01/2023,Lower Manhattan,Brewed Chai tea,2,5.1
48,01/01/2023,Lower Manhattan,Brewed Black tea,1,2.5
49,01/01/2023,Hell's Kitchen,Drip coffee,1,2.5
50,01/01/2023,Hell's Kitchen,Brewed Green tea,1,2.5
51,01/01/2023,Hell's Kitchen,Gourmet brewed coffee,1,3
52,01/01/2023,Lower Manhattan,Brewed Green tea,2,6
53,01/01/2023,Lower Manhattan,Brewed herbal tea,2,6
54,01/01/2023,Lower Manhattan,Organic brewed coffee,2,4.4
55,01/01/2023,Hell's Kitchen,Hot chocolate,1,4.5
56,01/01/2023,Lower Manhattan,Barista Espresso,1,3.75
57,01/01/2023,Hell's Kitchen,Brewed herbal tea,1,3
58,01/01/2023,Lower Manhattan,Premium brewed coffee,1,2.45
59,01/01/2023,Hell's Kitchen,Premium brewed coffee,2,7.5
60,01/01/2023,Hell's Kitchen,Biscotti,1,3.5
